CodDist;CodConsMT;TipCrvaCarga;CodAlim;fcDU;fcSA;fcDO;EnerMedid01_MWh;EnerMedid02_MWh;EnerMedid03_MWh;EnerMedid04_MWh;EnerMedid05_MWh;EnerMedid06_MWh;EnerMedid07_MWh;EnerMedid08_MWh;EnerMedid09_MWh;EnerMedid10_MWh;EnerMedid11_MWh;EnerMedid12_MWh;PropEnerMensDU01;PropEnerMensDU02;PropEnerMensDU03;PropEnerMensDU04;PropEnerMensDU05;PropEnerMensDU06;PropEnerMensDU07;PropEnerMensDU08;PropEnerMensDU09;PropEnerMensDU10;PropEnerMensDU11;PropEnerMensDU12;PropEnerMensSA01;PropEnerMensSA02;PropEnerMensSA03;PropEnerMensSA04;PropEnerMensSA05;PropEnerMensSA06;PropEnerMensSA07;PropEnerMensSA08;PropEnerMensSA09;PropEnerMensSA10;PropEnerMensSA11;PropEnerMensSA12;PropEnerMensDO01;PropEnerMensDO02;PropEnerMensDO03;PropEnerMensDO04;PropEnerMensDO05;PropEnerMensDO06;PropEnerMensDO07;PropEnerMensDO08;PropEnerMensDO09;PropEnerMensDO10;PropEnerMensDO11;PropEnerMensDO12;DiasMesDU01;DiasMesDU02;DiasMesDU03;DiasMesDU04;DiasMesDU05;DiasMesDU06;DiasMesDU07;DiasMesDU08;DiasMesDU09;DiasMesDU10;DiasMesDU11;DiasMesDU12;DiasMesSA01;DiasMesSA02;DiasMesSA03;DiasMesSA04;DiasMesSA05;DiasMesSA06;DiasMesSA07;DiasMesSA08;DiasMesSA09;DiasMesSA10;DiasMesSA11;DiasMesSA12;DiasMesDO01;DiasMesDO02;DiasMesDO03;DiasMesDO04;DiasMesDO05;DiasMesDO06;DiasMesDO07;DiasMesDO08;DiasMesDO09;DiasMesDO10;DiasMesDO11;DiasMesDO12;DemMaxDU01_kW;DemMaxDU02_kW;DemMaxDU03_kW;DemMaxDU04_kW;DemMaxDU05_kW;DemMaxDU06_kW;DemMaxDU07_kW;DemMaxDU08_kW;DemMaxDU09_kW;DemMaxDU10_kW;DemMaxDU11_kW;DemMaxDU12_kW;DemMaxSA01_kW;DemMaxSA02_kW;DemMaxSA03_kW;DemMaxSA04_kW;DemMaxSA05_kW;DemMaxSA06_kW;DemMaxSA07_kW;DemMaxSA08_kW;DemMaxSA09_kW;DemMaxSA10_kW;DemMaxSA11_kW;DemMaxSA12_kW;DemMaxDO01_kW;DemMaxDO02_kW;DemMaxDO03_kW;DemMaxDO04_kW;DemMaxDO05_kW;DemMaxDO06_kW;DemMaxDO07_kW;DemMaxDO08_kW;DemMaxDO09_kW;DemMaxDO10_kW;DemMaxDO11_kW;DemMaxDO12_kW
20250139;199074203;MT-Tipo01;ESB01S3;0.43279569892473113;0.7823275862068967;0.7420977011494253;0;0;0;0;0;0;0;0;0;0;0;0;0.8561630383877449;0.8585521930409279;0.8156674002184824;0.8299771240777137;0.8360275708589621;0.8299771240777137;0.8746899728357151;0.8360275708589621;0.8697360343769184;0.8746899728357151;0.8078300625546735;0.8561630383877449;0.06580756273321953;0.0725903212904946;0.08620553171951935;0.07017430808389986;0.0841498470002782;0.07017430808389986;0.06430849179166175;0.0841498470002782;0.06685082872928177;0.06430849179166175;0.08987076435538978;0.06580756273321953;0.07802939887903554;0.06885748566857752;0.09812706806199833;0.09984856783838646;0.07982258214075974;0.09984856783838646;0.06100153537262312;0.07982258214075974;0.06341313689379986;0.06100153537262312;0.10229917308993679;0.07802939887903554;22.0;20.0;20.0;20.0;21.0;20.0;23.0;21.0;22.0;23.0;19.0;22.0;4.0;4.0;5.0;4.0;5.0;4.0;4.0;5.0;4.0;4.0;5.0;4.0;5.0;4.0;6.0;6.0;5.0;6.0;4.0;5.0;4.0;4.0;6.0;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20250139;282249204;MT-Tipo05;ESB01S3;0.4932432432432433;0.6127266387726639;0.6246702358783365;0;0;0;0;0;0;0;0;0;0;0;0;0.7815815259072254;0.7845721286253035;0.726718950452866;0.7461431172343302;0.7536470651925019;0.7461431172343302;0.8072554311274938;0.7536470651925019;0.8002443965274338;0.8072554311274938;0.7164146064755744;0.7815815259072254;0.10181115574606883;0.11242079269677475;0.1301638139708518;0.10691432647715984;0.12855900231249648;0.10691432647715984;0.10058353676510567;0.12855900231249648;0.10424223729597783;0.10058353676510567;0.1350717748952354;0.10181115574606883;0.11660731834670571;0.10300707867792175;0.14311723557628206;0.14694255628850988;0.11779393249500154;0.14694255628850988;0.09216103210740052;0.11779393249500154;0.09551336617658836;0.09216103210740052;0.14851361862919019;0.11660731834670571;22.0;20.0;20.0;20.0;21.0;20.0;23.0;21.0;22.0;23.0;19.0;22.0;4.0;4.0;5.0;4.0;5.0;4.0;4.0;5.0;4.0;4.0;5.0;4.0;5.0;4.0;6.0;6.0;5.0;6.0;4.0;5.0;4.0;4.0;6.0;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20250139;199195862;MT-Tipo01;ESB01S3;0.43279569892473113;0.7823275862068967;0.7420977011494253;0;0;0;0;0;0;0;0;0;0;0;0;0.8561630383877449;0.8585521930409279;0.8156674002184824;0.8299771240777137;0.8360275708589621;0.8299771240777137;0.8746899728357151;0.8360275708589621;0.8697360343769184;0.8746899728357151;0.8078300625546735;0.8561630383877449;0.06580756273321953;0.0725903212904946;0.08620553171951935;0.07017430808389986;0.0841498470002782;0.07017430808389986;0.06430849179166175;0.0841498470002782;0.06685082872928177;0.06430849179166175;0.08987076435538978;0.06580756273321953;0.07802939887903554;0.06885748566857752;0.09812706806199833;0.09984856783838646;0.07982258214075974;0.09984856783838646;0.06100153537262312;0.07982258214075974;0.06341313689379986;0.06100153537262312;0.10229917308993679;0.07802939887903554;22.0;20.0;20.0;20.0;21.0;20.0;23.0;21.0;22.0;23.0;19.0;22.0;4.0;4.0;5.0;4.0;5.0;4.0;4.0;5.0;4.0;4.0;5.0;4.0;5.0;4.0;6.0;6.0;5.0;6.0;4.0;5.0;4.0;4.0;6.0;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20250139;302657928_3;MT-Tipo05;ESB01S3;0.4932432432432433;0.6127266387726639;0.6246702358783365;0;0;0;0;0;0;0;0;0;0;0;0;0.7815815259072254;0.7845721286253035;0.726718950452866;0.7461431172343302;0.7536470651925019;0.7461431172343302;0.8072554311274938;0.7536470651925019;0.8002443965274338;0.8072554311274938;0.7164146064755744;0.7815815259072254;0.10181115574606883;0.11242079269677475;0.1301638139708518;0.10691432647715984;0.12855900231249648;0.10691432647715984;0.10058353676510567;0.12855900231249648;0.10424223729597783;0.10058353676510567;0.1350717748952354;0.10181115574606883;0.11660731834670571;0.10300707867792175;0.14311723557628206;0.14694255628850988;0.11779393249500154;0.14694255628850988;0.09216103210740052;0.11779393249500154;0.09551336617658836;0.09216103210740052;0.14851361862919019;0.11660731834670571;22.0;20.0;20.0;20.0;21.0;20.0;23.0;21.0;22.0;23.0;19.0;22.0;4.0;4.0;5.0;4.0;5.0;4.0;4.0;5.0;4.0;4.0;5.0;4.0;5.0;4.0;6.0;6.0;5.0;6.0;4.0;5.0;4.0;4.0;6.0;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20250139;270702671;MT-Tipo02;ESB01S3;0.44365057343692194;0.637736560614372;0.7756537387982958;0;0;0;0;0;0;0;0;0;0;0;0;0.7727742058319541;0.7739975012447674;0.7161059456537068;0.73806616542345;0.7420535111988559;0.73806616542345;0.7975068769354491;0.7420535111988559;0.7902333848424212;0.7975068769354491;0.7055635614402187;0.7727742058319541;0.11675729621950277;0.12863633429841226;0.14876863890071507;0.12266464147115361;0.14681824735248586;0.12266464147115361;0.11525524370361862;0.14681824735248586;0.11939517740147083;0.11525524370361862;0.1542931510424731;0.11675729621950277;0.11046849794854308;0.0973661644568204;0.13512541544557813;0.13926919310539626;0.11112824144865828;0.13926919310539626;0.0872378793609323;0.11112824144865828;0.09037143775610795;0.0872378793609323;0.1401432875173082;0.11046849794854308;22.0;20.0;20.0;20.0;21.0;20.0;23.0;21.0;22.0;23.0;19.0;22.0;4.0;4.0;5.0;4.0;5.0;4.0;4.0;5.0;4.0;4.0;5.0;4.0;5.0;4.0;6.0;6.0;5.0;6.0;4.0;5.0;4.0;4.0;6.0;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20250139;272686827_2;MT-Tipo05;ESB01S3;0.4932432432432433;0.6127266387726639;0.6246702358783365;0;0;0;0;0;0;0;0;0;0;0;0;0.7815815259072254;0.7845721286253035;0.726718950452866;0.7461431172343302;0.7536470651925019;0.7461431172343302;0.8072554311274938;0.7536470651925019;0.8002443965274338;0.8072554311274938;0.7164146064755744;0.7815815259072254;0.10181115574606883;0.11242079269677475;0.1301638139708518;0.10691432647715984;0.12855900231249648;0.10691432647715984;0.10058353676510567;0.12855900231249648;0.10424223729597783;0.10058353676510567;0.1350717748952354;0.10181115574606883;0.11660731834670571;0.10300707867792175;0.14311723557628206;0.14694255628850988;0.11779393249500154;0.14694255628850988;0.09216103210740052;0.11779393249500154;0.09551336617658836;0.09216103210740052;0.14851361862919019;0.11660731834670571;22.0;20.0;20.0;20.0;21.0;20.0;23.0;21.0;22.0;23.0;19.0;22.0;4.0;4.0;5.0;4.0;5.0;4.0;4.0;5.0;4.0;4.0;5.0;4.0;5.0;4.0;6.0;6.0;5.0;6.0;4.0;5.0;4.0;4.0;6.0;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20250139;195123988;MT-Tipo05;ESB01S3;0.4932432432432433;0.6127266387726639;0.6246702358783365;0;0;0;0;0;0;0;0;0;0;0;0;0.7815815259072254;0.7845721286253035;0.726718950452866;0.7461431172343302;0.7536470651925019;0.7461431172343302;0.8072554311274938;0.7536470651925019;0.8002443965274338;0.8072554311274938;0.7164146064755744;0.7815815259072254;0.10181115574606883;0.11242079269677475;0.1301638139708518;0.10691432647715984;0.12855900231249648;0.10691432647715984;0.10058353676510567;0.12855900231249648;0.10424223729597783;0.10058353676510567;0.1350717748952354;0.10181115574606883;0.11660731834670571;0.10300707867792175;0.14311723557628206;0.14694255628850988;0.11779393249500154;0.14694255628850988;0.09216103210740052;0.11779393249500154;0.09551336617658836;0.09216103210740052;0.14851361862919019;0.11660731834670571;22.0;20.0;20.0;20.0;21.0;20.0;23.0;21.0;22.0;23.0;19.0;22.0;4.0;4.0;5.0;4.0;5.0;4.0;4.0;5.0;4.0;4.0;5.0;4.0;5.0;4.0;6.0;6.0;5.0;6.0;4.0;5.0;4.0;4.0;6.0;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20250139;302657928_4;MT-Tipo02;ESB01S3;0.44365057343692194;0.637736560614372;0.7756537387982958;0;0;0;0;0;0;0;0;0;0;0;0;0.7727742058319541;0.7739975012447674;0.7161059456537068;0.73806616542345;0.7420535111988559;0.73806616542345;0.7975068769354491;0.7420535111988559;0.7902333848424212;0.7975068769354491;0.7055635614402187;0.7727742058319541;0.11675729621950277;0.12863633429841226;0.14876863890071507;0.12266464147115361;0.14681824735248586;0.12266464147115361;0.11525524370361862;0.14681824735248586;0.11939517740147083;0.11525524370361862;0.1542931510424731;0.11675729621950277;0.11046849794854308;0.0973661644568204;0.13512541544557813;0.13926919310539626;0.11112824144865828;0.13926919310539626;0.0872378793609323;0.11112824144865828;0.09037143775610795;0.0872378793609323;0.1401432875173082;0.11046849794854308;22.0;20.0;20.0;20.0;21.0;20.0;23.0;21.0;22.0;23.0;19.0;22.0;4.0;4.0;5.0;4.0;5.0;4.0;4.0;5.0;4.0;4.0;5.0;4.0;5.0;4.0;6.0;6.0;5.0;6.0;4.0;5.0;4.0;4.0;6.0;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20250139;8157101_2;MT-Tipo05;ESB01S3;0.4932432432432433;0.6127266387726639;0.6246702358783365;0;0;0;0;0;0;0;0;0;0;0;0;0.7815815259072254;0.7845721286253035;0.726718950452866;0.7461431172343302;0.7536470651925019;0.7461431172343302;0.8072554311274938;0.7536470651925019;0.8002443965274338;0.8072554311274938;0.7164146064755744;0.7815815259072254;0.10181115574606883;0.11242079269677475;0.1301638139708518;0.10691432647715984;0.12855900231249648;0.10691432647715984;0.10058353676510567;0.12855900231249648;0.10424223729597783;0.10058353676510567;0.1350717748952354;0.10181115574606883;0.11660731834670571;0.10300707867792175;0.14311723557628206;0.14694255628850988;0.11779393249500154;0.14694255628850988;0.09216103210740052;0.11779393249500154;0.09551336617658836;0.09216103210740052;0.14851361862919019;0.11660731834670571;22.0;20.0;20.0;20.0;21.0;20.0;23.0;21.0;22.0;23.0;19.0;22.0;4.0;4.0;5.0;4.0;5.0;4.0;4.0;5.0;4.0;4.0;5.0;4.0;5.0;4.0;6.0;6.0;5.0;6.0;4.0;5.0;4.0;4.0;6.0;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20250139;191648129_1;MT-Tipo02;ESB01S3;0.44365057343692194;0.637736560614372;0.7756537387982958;0;0;0;0;0;0;0;0;0;0;0;0;0.7727742058319541;0.7739975012447674;0.7161059456537068;0.73806616542345;0.7420535111988559;0.73806616542345;0.7975068769354491;0.7420535111988559;0.7902333848424212;0.7975068769354491;0.7055635614402187;0.7727742058319541;0.11675729621950277;0.12863633429841226;0.14876863890071507;0.12266464147115361;0.14681824735248586;0.12266464147115361;0.11525524370361862;0.14681824735248586;0.11939517740147083;0.11525524370361862;0.1542931510424731;0.11675729621950277;0.11046849794854308;0.0973661644568204;0.13512541544557813;0.13926919310539626;0.11112824144865828;0.13926919310539626;0.0872378793609323;0.11112824144865828;0.09037143775610795;0.0872378793609323;0.1401432875173082;0.11046849794854308;22.0;20.0;20.0;20.0;21.0;20.0;23.0;21.0;22.0;23.0;19.0;22.0;4.0;4.0;5.0;4.0;5.0;4.0;4.0;5.0;4.0;4.0;5.0;4.0;5.0;4.0;6.0;6.0;5.0;6.0;4.0;5.0;4.0;4.0;6.0;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20250139;302657928_5;MT-Tipo02;ESB01S3;0.44365057343692194;0.637736560614372;0.7756537387982958;0;0;0;0;0;0;0;0;0;0;0;0;0.7727742058319541;0.7739975012447674;0.7161059456537068;0.73806616542345;0.7420535111988559;0.73806616542345;0.7975068769354491;0.7420535111988559;0.7902333848424212;0.7975068769354491;0.7055635614402187;0.7727742058319541;0.11675729621950277;0.12863633429841226;0.14876863890071507;0.12266464147115361;0.14681824735248586;0.12266464147115361;0.11525524370361862;0.14681824735248586;0.11939517740147083;0.11525524370361862;0.1542931510424731;0.11675729621950277;0.11046849794854308;0.0973661644568204;0.13512541544557813;0.13926919310539626;0.11112824144865828;0.13926919310539626;0.0872378793609323;0.11112824144865828;0.09037143775610795;0.0872378793609323;0.1401432875173082;0.11046849794854308;22.0;20.0;20.0;20.0;21.0;20.0;23.0;21.0;22.0;23.0;19.0;22.0;4.0;4.0;5.0;4.0;5.0;4.0;4.0;5.0;4.0;4.0;5.0;4.0;5.0;4.0;6.0;6.0;5.0;6.0;4.0;5.0;4.0;4.0;6.0;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20250139;301839413;MT-Tipo05;ESB01S3;0.4932432432432433;0.6127266387726639;0.6246702358783365;0;0;0;0;0;0;0;0;0;0;0;0;0.7815815259072254;0.7845721286253035;0.726718950452866;0.7461431172343302;0.7536470651925019;0.7461431172343302;0.8072554311274938;0.7536470651925019;0.8002443965274338;0.8072554311274938;0.7164146064755744;0.7815815259072254;0.10181115574606883;0.11242079269677475;0.1301638139708518;0.10691432647715984;0.12855900231249648;0.10691432647715984;0.10058353676510567;0.12855900231249648;0.10424223729597783;0.10058353676510567;0.1350717748952354;0.10181115574606883;0.11660731834670571;0.10300707867792175;0.14311723557628206;0.14694255628850988;0.11779393249500154;0.14694255628850988;0.09216103210740052;0.11779393249500154;0.09551336617658836;0.09216103210740052;0.14851361862919019;0.11660731834670571;22.0;20.0;20.0;20.0;21.0;20.0;23.0;21.0;22.0;23.0;19.0;22.0;4.0;4.0;5.0;4.0;5.0;4.0;4.0;5.0;4.0;4.0;5.0;4.0;5.0;4.0;6.0;6.0;5.0;6.0;4.0;5.0;4.0;4.0;6.0;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20250139;115127130;MT-Tipo01;ESB01S3;0.43279569892473113;0.7823275862068967;0.7420977011494253;0;0;0;0;0;0;0;0;0;0;0;0;0.8561630383877449;0.8585521930409279;0.8156674002184824;0.8299771240777137;0.8360275708589621;0.8299771240777137;0.8746899728357151;0.8360275708589621;0.8697360343769184;0.8746899728357151;0.8078300625546735;0.8561630383877449;0.06580756273321953;0.0725903212904946;0.08620553171951935;0.07017430808389986;0.0841498470002782;0.07017430808389986;0.06430849179166175;0.0841498470002782;0.06685082872928177;0.06430849179166175;0.08987076435538978;0.06580756273321953;0.07802939887903554;0.06885748566857752;0.09812706806199833;0.09984856783838646;0.07982258214075974;0.09984856783838646;0.06100153537262312;0.07982258214075974;0.06341313689379986;0.06100153537262312;0.10229917308993679;0.07802939887903554;22.0;20.0;20.0;20.0;21.0;20.0;23.0;21.0;22.0;23.0;19.0;22.0;4.0;4.0;5.0;4.0;5.0;4.0;4.0;5.0;4.0;4.0;5.0;4.0;5.0;4.0;6.0;6.0;5.0;6.0;4.0;5.0;4.0;4.0;6.0;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20250139;218758933;MT-Tipo05;ESB01S3;0.4932432432432433;0.6127266387726639;0.6246702358783365;0;0;0;0;0;0;0;0;0;0;0;0;0.7815815259072254;0.7845721286253035;0.726718950452866;0.7461431172343302;0.7536470651925019;0.7461431172343302;0.8072554311274938;0.7536470651925019;0.8002443965274338;0.8072554311274938;0.7164146064755744;0.7815815259072254;0.10181115574606883;0.11242079269677475;0.1301638139708518;0.10691432647715984;0.12855900231249648;0.10691432647715984;0.10058353676510567;0.12855900231249648;0.10424223729597783;0.10058353676510567;0.1350717748952354;0.10181115574606883;0.11660731834670571;0.10300707867792175;0.14311723557628206;0.14694255628850988;0.11779393249500154;0.14694255628850988;0.09216103210740052;0.11779393249500154;0.09551336617658836;0.09216103210740052;0.14851361862919019;0.11660731834670571;22.0;20.0;20.0;20.0;21.0;20.0;23.0;21.0;22.0;23.0;19.0;22.0;4.0;4.0;5.0;4.0;5.0;4.0;4.0;5.0;4.0;4.0;5.0;4.0;5.0;4.0;6.0;6.0;5.0;6.0;4.0;5.0;4.0;4.0;6.0;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20250139;71585919;MT-Tipo01;ESB01S3;0.43279569892473113;0.7823275862068967;0.7420977011494253;0;0;0;0;0;0;0;0;0;0;0;0;0.8561630383877449;0.8585521930409279;0.8156674002184824;0.8299771240777137;0.8360275708589621;0.8299771240777137;0.8746899728357151;0.8360275708589621;0.8697360343769184;0.8746899728357151;0.8078300625546735;0.8561630383877449;0.06580756273321953;0.0725903212904946;0.08620553171951935;0.07017430808389986;0.0841498470002782;0.07017430808389986;0.06430849179166175;0.0841498470002782;0.06685082872928177;0.06430849179166175;0.08987076435538978;0.06580756273321953;0.07802939887903554;0.06885748566857752;0.09812706806199833;0.09984856783838646;0.07982258214075974;0.09984856783838646;0.06100153537262312;0.07982258214075974;0.06341313689379986;0.06100153537262312;0.10229917308993679;0.07802939887903554;22.0;20.0;20.0;20.0;21.0;20.0;23.0;21.0;22.0;23.0;19.0;22.0;4.0;4.0;5.0;4.0;5.0;4.0;4.0;5.0;4.0;4.0;5.0;4.0;5.0;4.0;6.0;6.0;5.0;6.0;4.0;5.0;4.0;4.0;6.0;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20250139;1058964;MT-Tipo01;ESB01S3;0.43279569892473113;0.7823275862068967;0.7420977011494253;0;0;0;0;0;0;0;0;0;0;0;0;0.8561630383877449;0.8585521930409279;0.8156674002184824;0.8299771240777137;0.8360275708589621;0.8299771240777137;0.8746899728357151;0.8360275708589621;0.8697360343769184;0.8746899728357151;0.8078300625546735;0.8561630383877449;0.06580756273321953;0.0725903212904946;0.08620553171951935;0.07017430808389986;0.0841498470002782;0.07017430808389986;0.06430849179166175;0.0841498470002782;0.06685082872928177;0.06430849179166175;0.08987076435538978;0.06580756273321953;0.07802939887903554;0.06885748566857752;0.09812706806199833;0.09984856783838646;0.07982258214075974;0.09984856783838646;0.06100153537262312;0.07982258214075974;0.06341313689379986;0.06100153537262312;0.10229917308993679;0.07802939887903554;22.0;20.0;20.0;20.0;21.0;20.0;23.0;21.0;22.0;23.0;19.0;22.0;4.0;4.0;5.0;4.0;5.0;4.0;4.0;5.0;4.0;4.0;5.0;4.0;5.0;4.0;6.0;6.0;5.0;6.0;4.0;5.0;4.0;4.0;6.0;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20250139;262882998;MT-Tipo02;ESB01S3;0.44365057343692194;0.637736560614372;0.7756537387982958;0;0;0;0;0;0;0;0;0;0;0;0;0.7727742058319541;0.7739975012447674;0.7161059456537068;0.73806616542345;0.7420535111988559;0.73806616542345;0.7975068769354491;0.7420535111988559;0.7902333848424212;0.7975068769354491;0.7055635614402187;0.7727742058319541;0.11675729621950277;0.12863633429841226;0.14876863890071507;0.12266464147115361;0.14681824735248586;0.12266464147115361;0.11525524370361862;0.14681824735248586;0.11939517740147083;0.11525524370361862;0.1542931510424731;0.11675729621950277;0.11046849794854308;0.0973661644568204;0.13512541544557813;0.13926919310539626;0.11112824144865828;0.13926919310539626;0.0872378793609323;0.11112824144865828;0.09037143775610795;0.0872378793609323;0.1401432875173082;0.11046849794854308;22.0;20.0;20.0;20.0;21.0;20.0;23.0;21.0;22.0;23.0;19.0;22.0;4.0;4.0;5.0;4.0;5.0;4.0;4.0;5.0;4.0;4.0;5.0;4.0;5.0;4.0;6.0;6.0;5.0;6.0;4.0;5.0;4.0;4.0;6.0;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20250139;302657928_6;MT-Tipo02;ESB01S3;0.44365057343692194;0.637736560614372;0.7756537387982958;0;0;0;0;0;0;0;0;0;0;0;0;0.7727742058319541;0.7739975012447674;0.7161059456537068;0.73806616542345;0.7420535111988559;0.73806616542345;0.7975068769354491;0.7420535111988559;0.7902333848424212;0.7975068769354491;0.7055635614402187;0.7727742058319541;0.11675729621950277;0.12863633429841226;0.14876863890071507;0.12266464147115361;0.14681824735248586;0.12266464147115361;0.11525524370361862;0.14681824735248586;0.11939517740147083;0.11525524370361862;0.1542931510424731;0.11675729621950277;0.11046849794854308;0.0973661644568204;0.13512541544557813;0.13926919310539626;0.11112824144865828;0.13926919310539626;0.0872378793609323;0.11112824144865828;0.09037143775610795;0.0872378793609323;0.1401432875173082;0.11046849794854308;22.0;20.0;20.0;20.0;21.0;20.0;23.0;21.0;22.0;23.0;19.0;22.0;4.0;4.0;5.0;4.0;5.0;4.0;4.0;5.0;4.0;4.0;5.0;4.0;5.0;4.0;6.0;6.0;5.0;6.0;4.0;5.0;4.0;4.0;6.0;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20250139;266138434_1;MT-Tipo02;ESB01S4;0.44365057343692194;0.637736560614372;0.7756537387982958;0;0;0;0;0;0;0;0;0;0;0;0;0.7727742058319541;0.7739975012447674;0.7161059456537068;0.73806616542345;0.7420535111988559;0.73806616542345;0.7975068769354491;0.7420535111988559;0.7902333848424212;0.7975068769354491;0.7055635614402187;0.7727742058319541;0.11675729621950277;0.12863633429841226;0.14876863890071507;0.12266464147115361;0.14681824735248586;0.12266464147115361;0.11525524370361862;0.14681824735248586;0.11939517740147083;0.11525524370361862;0.1542931510424731;0.11675729621950277;0.11046849794854308;0.0973661644568204;0.13512541544557813;0.13926919310539626;0.11112824144865828;0.13926919310539626;0.0872378793609323;0.11112824144865828;0.09037143775610795;0.0872378793609323;0.1401432875173082;0.11046849794854308;22.0;20.0;20.0;20.0;21.0;20.0;23.0;21.0;22.0;23.0;19.0;22.0;4.0;4.0;5.0;4.0;5.0;4.0;4.0;5.0;4.0;4.0;5.0;4.0;5.0;4.0;6.0;6.0;5.0;6.0;4.0;5.0;4.0;4.0;6.0;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20250139;4636591;MT-Tipo01;ESB01S4;0.43279569892473113;0.7823275862068967;0.7420977011494253;0;0;0;0;0;0;0;0;0;0;0;0;0.8561630383877449;0.8585521930409279;0.8156674002184824;0.8299771240777137;0.8360275708589621;0.8299771240777137;0.8746899728357151;0.8360275708589621;0.8697360343769184;0.8746899728357151;0.8078300625546735;0.8561630383877449;0.06580756273321953;0.0725903212904946;0.08620553171951935;0.07017430808389986;0.0841498470002782;0.07017430808389986;0.06430849179166175;0.0841498470002782;0.06685082872928177;0.06430849179166175;0.08987076435538978;0.06580756273321953;0.07802939887903554;0.06885748566857752;0.09812706806199833;0.09984856783838646;0.07982258214075974;0.09984856783838646;0.06100153537262312;0.07982258214075974;0.06341313689379986;0.06100153537262312;0.10229917308993679;0.07802939887903554;22.0;20.0;20.0;20.0;21.0;20.0;23.0;21.0;22.0;23.0;19.0;22.0;4.0;4.0;5.0;4.0;5.0;4.0;4.0;5.0;4.0;4.0;5.0;4.0;5.0;4.0;6.0;6.0;5.0;6.0;4.0;5.0;4.0;4.0;6.0;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
